name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
"San Fernando, Trinidad, Trinidad And Tobago",2025-04-27,86.2,75.3,80.9,90.7,75.3,83.4,70.9,72.5,0,0,0,rain,0,0,21,15,110.2,1011.9,58.9,7.7,261.7,22.5,9,10,2025-04-27T05:49:39,2025-04-27T18:17:28,0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-04-28,88,76.8,82.1,98,76.8,86.6,74,77,0,0,0,,0,0,22.4,17.2,106.5,1012.4,62,7.5,291.1,25.2,10,10,2025-04-28T05:49:15,2025-04-28T18:17:35,0.03,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-04-29,89.4,76.8,82.3,102,76.8,87.8,75.3,80.1,0,0,0,rain,0,0,21.3,16.1,114.6,1012,63.6,6.9,269,23.3,9,10,2025-04-29T05:48:52,2025-04-29T18:17:41,0.06,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-04-30,88,75.3,81.8,97,75.3,85.2,72.1,73.8,0,0,0,rain,0,0,17.4,13.9,109.2,1011.1,73.4,6,275.7,23.8,10,10,2025-04-30T05:48:30,2025-04-30T18:17:48,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-01,89.5,76.9,82.3,94.8,76.9,85.5,72,72.3,0,0,0,rain,0,0,18.6,15,107.1,1011.4,64,7,265.3,22.8,9,10,2025-05-01T05:48:08,2025-05-01T18:17:55,0.13,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-02,89.7,75.3,82.1,102.1,75.3,88.2,74.5,78.4,0,0,0,rain,0,0,17.2,13.9,99.4,1011.4,57.7,7.3,251.1,21.8,8,30,2025-05-02T05:47:47,2025-05-02T18:18:03,0.16,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-03,82.6,75.2,79.3,91.3,75.2,82.7,76,89.7,0.476,100,8.33,rain,0,0,19.7,13.9,107.4,1011.8,73.4,5.9,205.7,17.6,7,30,2025-05-03T05:47:27,2025-05-03T18:18:11,0.2,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-04,89.4,75.4,81.5,100,75.4,87.2,76.3,84.8,0,0,0,rain,0,0,16.1,15,104.1,1012,69.6,6.9,174.8,15.1,7,30,2025-05-04T05:47:08,2025-05-04T18:18:20,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-05,89.5,77.2,82.3,102.5,77.2,88.8,76.7,83.7,0.043,100,8.33,rain,0,0,17,13.9,105,1012.3,76.9,6.5,122.9,10.7,4,30,2025-05-05T05:46:49,2025-05-05T18:18:28,0.26,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"78970011634,3EBY2,TTPP,TDW00011634"
"San Fernando, Trinidad, Trinidad And Tobago",2025-05-06,89.6,77.1,82.6,102.3,77.1,88.4,75.8,80.9,0,0,0,rain,0,0,16.8,18.3,97.2,1011.8,44.5,7.5,277.5,23.9,10,10,2025-05-06T05:46:31,2025-05-06T18:18:38,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"78970011634,3EBY2,TTPP,TDW00011634"
